연번,행정동,구조,연면적,층_동,등급,농촌지역여부,데이터기준일자
454,삼도동,부럭조,65.4,1층/2동,2등급,농촌지역,2025-05-27
455,삼도동,,,,2등급,농촌지역,2025-05-27
456,삼도동,부럭조,74.36,1층/2동,2등급,농촌지역,2025-05-27
457,삼도동,목조,75.28,1층/3동,2등급,농촌지역,2025-05-27
458,삼도동,목조,89.17,1층/3동,2등급,농촌지역,2025-05-27
459,삼도동,목조,123.44,1층/4동,2등급,농촌지역,2025-05-27
460,삼도동,,,,2등급,농촌지역,2025-05-27
461,삼도동,목조,88.88,1층/3동,2등급,농촌지역,2025-05-27
462,삼도동,목조,158.19,1층/4동,2등급,농촌지역,2025-05-27
463,삼도동,,,,2등급,농촌지역,2025-05-27
464,삼도동,목조,89.57,1층/2동,2등급,농촌지역,2025-05-27
465,삼도동,브럭조,91.38,1층/3동,2등급,농촌지역,2025-05-27
466,삼도동,세멘브럭조,50.78,1층/2동,3등급,농촌지역,2025-05-27
467,삼도동,브럭조,88.98,1층/2동,3등급,농촌지역,2025-05-27
468,삼도동,부럭조+목조+벽돌조,245.56,1층/4동,3등급,농촌지역,2025-05-27
469,삼도동,목조+부럭조,76.06,1층/2동,2등급,농촌지역,2025-05-27
470,삼도동,목조+흙담조,104.55,1층/2동,3등급,농촌지역,2025-05-27
471,삼도동,목조,104.19,1층/2동,3등급,농촌지역,2025-05-27
472,삼도동,부르크조,96.36,1층/3동,2등급,농촌지역,2025-05-27
473,삼도동,목조,242.69,1층/4동,2등급,농촌지역,2025-05-27
474,삼도동,기타강구조,49.8,1층/1동,2등급,농촌지역,2025-05-27
475,삼도동,콘크리트조+목조,119.75,1층/2동,3등급,농촌지역,2025-05-27
476,삼도동,목조,143-4,1층/3동,2등급,농촌지역,2025-05-27
477,삼도동,목조+블록조,80.33,1층/3동,3등급,농촌지역,2025-05-27
478,삼도동,목조,88.68,1층/2동,3등급,농촌지역,2025-05-27
479,삼도동,목조,150.83,1층/3동,4등급,농촌지역,2025-05-27
480,삼도동,목조+철파이프조,1876.38,1층/4동,4등급,농촌지역,2025-05-27
481,삼도동,목조+토담조,88.64,1층/2동,2등급,도시지역,2025-05-27
482,삼도동,목조,47.7,1층/1동,3등급,도시지역,2025-05-27
483,삼도동,목조+토담조,136.93,1층/4동,4등급,도시지역,2025-05-27
484,삼도동,목조+브럭조,122.1,1층/3동,1등급,도시지역,2025-05-27
485,삼도동,목조+블록조,84.91,1층/2동,2등급,도시지역,2025-05-27
486,삼도동,목조+블록조,103.55,1층/2동,3등급,도시지역,2025-05-27
487,삼도동,토담조,34.7,1층/1동,3등급,도시지역,2025-05-27
488,삼도동,블록조+토담조,86.11,1층/2동,3등급,도시지역,2025-05-27
489,삼도동,목조+세멘브렉조,165,1층/4동,4등급,도시지역,2025-05-27
490,삼도동,블록구조,97.54,1층/2동,3등급,도시지역,2025-05-27
491,삼도동,세멘벽돌조,99.28,1층/3동,4등급,도시지역,2025-05-27
492,삼도동,세멘브록조,107.48,1층/4동,3등급,도시지역,2025-05-27
493,삼도동,시멘트벽돌조,99,1층/1동,3등급,도시지역,2025-05-27
494,삼도동,시멘벽돌조,158.88,1층/4동,2등급,도시지역,2025-05-27
495,삼도동,시멘트블록조,108.54,1층/2동,2등급,도시지역,2025-05-27
496,삼도동,조적조+세멘벽돌조+세멘블록조,408.15,1층/3동,2등급,도시지역,2025-05-27
497,삼도동,벽돌조+돌담조+블록조,169.6,1층/3동,2등급,도시지역,2025-05-27
498,삼도동,벽돌조+블록조,175.9,1층/4동,2등급,도시지역,2025-05-27
499,삼도동,목조+세멘브럭조,110.2,1층/3동,2등급,도시지역,2025-05-27
500,삼도동,목조+세멘브록조,71.7,1층/2동,4등급,도시지역,2025-05-27
501,삼도동,세멘브럭조,378.4+46.8,1층/2동+1층/2동,4등급,도시지역,2025-05-27
502,삼도동,목조,132.02,1층/4동,3등급,농촌지역,2025-05-27
503,삼도동,목조,139.16,1층/4동,2등급,농촌지역,2025-05-27
504,삼도동,목조,142.63,1층/4동,2등급,농촌지역,2025-05-27
505,삼도동,목조,61.85,1층/2동,2등급,농촌지역,2025-05-27
506,삼도동,목조,134.67,1층/4동,3등급,농촌지역,2025-05-27
507,삼도동,목조,67.39,1층/3동,3등급,농촌지역,2025-05-27
508,삼도동,목조,112.83,1층/3동,2등급,농촌지역,2025-05-27
509,삼도동,목조+부럭그조+흙담조,102.98,1층/4동,4등급,농촌지역,2025-05-27
510,삼도동,목조,151.51,1층/4동,3등급,농촌지역,2025-05-27
511,삼도동,벽돌구조,131.88,1층/3동,1등급,농촌지역,2025-05-27
512,삼도동,목조,119.13,1층/4동,4등급,농촌지역,2025-05-27
513,본량동,목조,135.61,1층/3동,1등급,농촌지역,2025-05-27
514,본량동,목조,88.59,1층/2동,2등급,농촌지역,2025-05-27
515,본량동,목조,93.23,1층/2동,4등급,농촌지역,2025-05-27
516,본량동,조적조,57.23,1층/2동,2등급,농촌지역,2025-05-27
517,본량동,시멘트블럭조,61.81,1층/2동,1등급,농촌지역,2025-05-27
518,본량동,목조,72.39,1층/1동,4등급,농촌지역,2025-05-27
519,본량동,토담조,61.67,1층/1동,3등급,농촌지역,2025-05-27
520,본량동,목조,35.37,1층/1동,3등급,농촌지역,2025-05-27
521,본량동,목조+브럭조+철근조,109.36,1층/5동,3등급,농촌지역,2025-05-27
522,본량동,목조+브록조,99.1,1층/3동,2등급,농촌지역,2025-05-27
523,본량동,일반목구조,48.59,1층/1동,2등급,농촌지역,2025-05-27
524,본량동,일반목구조,251.4,1층/3동,2등급,농촌지역,2025-05-27
525,본량동,목조,63.1,1층/2동,2등급,농촌지역,2025-05-27
526,본량동,목조+토담조,64.45,1층/2동,2등급,농촌지역,2025-05-27
527,본량동,목조,100.15,1층/3동,4등급,농촌지역,2025-05-27
528,본량동,목조,116.07,1층/4동,3등급,농촌지역,2025-05-27
529,본량동,목조,83.96,1층/2동,3등급,농촌지역,2025-05-27
530,본량동,목조,75.7,1층/1동,3등급,농촌지역,2025-05-27
531,본량동,목조+브럭조,81.17,1층/3동,2등급,농촌지역,2025-05-27
532,본량동,목조,65.22,1층/1동,2등급,농촌지역,2025-05-27
533,본량동,,,,2등급,농촌지역,2025-05-27
534,본량동,목조,111,1층/1동,4등급,농촌지역,2025-05-27
535,본량동,목조,84.62,1층/3동,1등급,농촌지역,2025-05-27
536,본량동,세벽조+세부조,133.05,1층/3동,1등급,농촌지역,2025-05-27
537,본량동,기타강구조,96.7,1층/2동,3등급,농촌지역,2025-05-27
538,본량동,조적조+목조,132.04,1층/3동,2등급,농촌지역,2025-05-27
539,본량동,목조,39.66,1층/1동,1등급,농촌지역,2025-05-27
540,본량동,목조,118.59,1층/3동,4등급,농촌지역,2025-05-27
541,본량동,목조,50.25,1층/1동,4등급,농촌지역,2025-05-27
542,본량동,목조,132.34,1층/4동,4등급,농촌지역,2025-05-27
543,본량동,목조,86.08,1층/1동,2등급,농촌지역,2025-05-27
544,본량동,목조,36.03,1층/1동,2등급,농촌지역,2025-05-27
545,본량동,목조,41.65,1층/1동,3등급,농촌지역,2025-05-27
546,본량동,목조,144.88,1층/5동,3등급,농촌지역,2025-05-27
547,본량동,목조+목조,99.82+93.55,1층/3동+1층/2동,2등급,농촌지역,2025-05-27
548,본량동,목조+목조,103.39+46.94,1층/3동,2등급,농촌지역,2025-05-27
549,본량동,조립식조,92.66,1층/3동,2등급,농촌지역,2025-05-27
550,본량동,목조,130.23,1층/3동,2등급,농촌지역,2025-05-27
551,본량동,목조,54.54,1층/1동,3등급,농촌지역,2025-05-27
552,본량동,목조,93.55,1층/2동,3등급,농촌지역,2025-05-27
553,본량동,목조,301.3,1층/6동,3등급,농촌지역,2025-05-27
554,본량동,목조,52.89,1층/1동,2등급,농촌지역,2025-05-27
555,본량동,목조,99.49,1층/2동,4등급,농촌지역,2025-05-27
556,본량동,목조,109.46,1층/2동,2등급,농촌지역,2025-05-27
557,본량동,브럭조+토담조,81.6+72.38,1층/2동+1층/2동,4등급,농촌지역,2025-05-27
558,본량동,목조,70.41,1층/1동,3등급,농촌지역,2025-05-27
559,본량동,목조,36.69,1층/1동,3등급,농촌지역,2025-05-27
560,본량동,목조,173.53,1층/4동,4등급,농촌지역,2025-05-27
561,본량동,목조,83.32,1층/2동,2등급,농촌지역,2025-05-27
562,본량동,목조+세멘브럭조,66.52,1층/3동,2등급,도시지역,2025-05-27
563,본량동,목조+목조,110.63+97.55,1층/3동+1층/3동,2등급,도시지역,2025-05-27
564,본량동,세멘벽돌조+목조+세멘브럭조,126.23,1층/4동,3등급,도시지역,2025-05-27
565,본량동,목조+세멘부럭조,67.2,1층/2동,3등급,도시지역,2025-05-27
566,본량동,목조+세멘부럭조,130.4,1층/3동,3등급,도시지역,2025-05-27
567,본량동,목조+세멘부럭조,129.3,1층/3동,3등급,도시지역,2025-05-27
568,본량동,조적조,167.1,1층/3동,1등급,농촌지역,2025-05-27
569,본량동,목조+브럭조,135.87,1층/3동,3등급,농촌지역,2025-05-27
570,본량동,목조+브럭조,167.89,1층/2동,2등급,농촌지역,2025-05-27
571,본량동,목조+브럭조,113.61,1층/2동,2등급,농촌지역,2025-05-27
572,비아동,목조+토담조,102.48,1층/2동,4등급,도시지역,2025-05-27
573,도산동,세멘브록(벽돌)조/스라브,125.36,1층/4동,3등급,도시지역,2025-05-27
574,삼도동,목조+ 세멘브럭조,79.3,1층/2동,2등급,도시지역,2025-05-27
575,도산동,시멘벽돌조+ 시멘브럭조,70.49,1층/2동,1등급,도시지역,2025-05-27
576,송정1동,세멘벽돌조,96.85,1층/2동,1등급,도시지역,2025-05-27
577,삼도동,목조,49.3,1층,3등급,도시지역,2025-05-27
578,평동,목조+ 브럭조,92.5,1층/2동,3등급,도시지역,2025-05-27
579,본량동,목조+세멘브럭조,79.79,1층/2동,1등급,도시지역,2025-05-27
580,어룡동,목조+시멘브럭조,93.89,1층/2동,1등급,도시지역,2025-05-27
581,어룡동,시멘벽돌조,127.2,1층,1등급,도시지역,2025-05-27
582,어룡동,목조,23.14,1층,4등급,도시지역,2025-05-27
583,도산동,세멘부록조,67.76,1층/1동,1등급,도시지역,2025-05-27
584,동곡동,목조,105.36,1층/3동,4등급,농촌지역,2025-05-27
585,임곡동,목조,113.43,1층/1동,1등급,농촌지역,2025-05-27
586,본량동,목조,52.23,1층,3등급,농촌지역,2025-05-27
587,삼도동,블럭조,91.29,1층,4등급,농촌지역,2025-05-27
588,평동,목조,204.5,1층/3동,2등급,농촌지역,2025-05-27
589,평동,브럭조,72.3,1층/1동,4등급,농촌지역,2025-05-27
