읍면동,리,주택유형,전용면적,건축연도,빈집등급,데이터기준일 
가조면,동례리,단독,104.55,1855,2,2025-07-01
가조면,동례리,단독,39.84,1947,2,2025-07-01
가조면,동례리,단독,47.85,1928,2,2025-07-01
가조면,동례리,그외,,,2,2025-07-01
가조면,동례리,단독,44.44,1925,2,2025-07-01
가조면,동례리,단독,44.48,1968,3,2025-07-01
가조면,동례리,그외,,,1,2025-07-01
가조면,동례리,그외,114,1990,2,2025-07-01
가조면,동례리,단독,53.39,2015,1,2025-07-01
가조면,동례리,그외,64.8,1990,1,2025-07-01
가조면,동례리,단독,71.76,1976,2,2025-07-01
가조면,동례리,단독,35.73,1964,2,2025-07-01
가조면,동례리,단독,62.92,1930,2,2025-07-01
가조면,동례리,단독,114.19,1920,2,2025-07-01
가조면,동례리,그외,97.74,1925,2,2025-07-01
거창읍,동변리,단독,23.14,1972,2,2025-07-01
거창읍,동변리,그외,106.6,1959,2,2025-07-01
거창읍,대동리,그외,107.99,1985,2,2025-07-01
마리면,대동리,단독,41.85,1951,2,2025-07-01
마리면,대동리,단독,45.16,1928,2,2025-07-01
웅양면,동호리,단독,98.08,1944,1,2025-07-01
웅양면,동호리,단독,73.32,1965,2,2025-07-01
웅양면,동호리,단독,45.22,1906,2,2025-07-01
웅양면,동호리,단독,106.9,1925,1,2025-07-01
웅양면,동호리,그외,,,2,2025-07-01
웅양면,동호리,그외,40,2004,2,2025-07-01
고제면,봉산리,단독,114.89,1935,2,2025-07-01
남상면,둔동리,단독,76.5,1963,2,2025-07-01
남상면,둔동리,단독,91.44,1946,2,2025-07-01
남상면,둔동리,단독,63.9,1949,3,2025-07-01
거창읍,송정리,그외,71.04,1945,2,2025-07-01
가조면,마상리,단독,48.52,1925,2,2025-07-01
가조면,마상리,단독,59.04,1925,2,2025-07-01
가조면,마상리,단독,33.55,1961,2,2025-07-01
가조면,마상리,단독,22.22,1925,2,2025-07-01
가조면,마상리,단독,11.3,1976,2,2025-07-01
가조면,마상리,단독,24.24,1940,2,2025-07-01
위천면,강천리,단독,91.1,1940,2,2025-07-01
마리면,율리,단독,68.86,1942,1,2025-07-01
남상면,무촌리,단독,73.55,1943,2,2025-07-01
위천면,강천리,단독,44.6,1974,2,2025-07-01
위천면,강천리,단독,78.2,1940,2,2025-07-01
위천면,강천리,그외,42.1,1950,2,2025-07-01
가북면,몽석리,단독,35.71,1916,2,2025-07-01
가북면,몽석리,단독,59.51,1950,2,2025-07-01
가북면,몽석리,단독,94.87,1914,2,2025-07-01
가북면,몽석리,단독,56.2,1900,1,2025-07-01
가북면,몽석리,단독,60,1992,1,2025-07-01
가북면,몽석리,단독,89.58,1895,2,2025-07-01
가북면,몽석리,단독,45.3,1920,2,2025-07-01
가북면,몽석리,단독,42.65,1976,2,2025-07-01
남하면,무릉리,단독,89.16,1988,2,2025-07-01
남하면,무릉리,단독,85.96,1945,2,2025-07-01
남하면,무릉리,단독,62.81,1945,3,2025-07-01
남상면,무촌리,단독,92.59,1946,2,2025-07-01
남상면,오계리,단독,69.37,1999,1,2025-07-01
남상면,오계리,단독,194.44,1992,1,2025-07-01
신원면,수원리,단독,26.45,1950,2,2025-07-01
신원면,수원리,단독,33.06,1945,2,2025-07-01
주상면,성기리,그외,114.3,1978,2,2025-07-01
신원면,양지리,단독,42.98,1940,1,2025-07-01
남상면,월평리,단독,63.27,1952,2,2025-07-01
가조면,대초리,단독,47.3,1954,2,2025-07-01
북상면,월성리,단독,46.28,1951,2,2025-07-01
북상면,월성리,그외,,,2,2025-07-01
북상면,병곡리,단독,100.12,1993,1,2025-07-01
가조면,사병리,그외,39.5,1963,2,2025-07-01
가조면,사병리,단독,66.43,1925,2,2025-07-01
가조면,사병리,단독,115.98,1925,2,2025-07-01
가조면,사병리,그외,117.3,1949,2,2025-07-01
가조면,사병리,단독,52.4,1955,2,2025-07-01
가조면,사병리,단독,116.34,1925,1,2025-07-01
가조면,사병리,그외,75.2,1988,2,2025-07-01
가조면,사병리,단독,78.71,1925,2,2025-07-01
마리면,고학리,단독,47.34,1960,2,2025-07-01
가조면,일부리,단독,18.63,1976,2,2025-07-01
가조면,일부리,그외,39.7,1935,2,2025-07-01
가조면,일부리,그외,67.7,1930,2,2025-07-01
가조면,일부리,단독,42.7,1944,3,2025-07-01
가조면,일부리,단독,52.2,1940,2,2025-07-01
북상면,병곡리,단독,82.33,1995,1,2025-07-01
북상면,병곡리,단독,33.99,1956,2,2025-07-01
마리면,월계리,단독,51.31,1930,2,2025-07-01
마리면,월계리,그외,46,1940,2,2025-07-01
위천면,장기리,그외,53.6,1945,2,2025-07-01
위천면,장기리,단독,104.3,1960,2,2025-07-01
북상면,산수리,단독,173,1965,2,2025-07-01
북상면,산수리,그외,74.05,1955,2,2025-07-01
남하면,무릉리,그외,51.57,1953,2,2025-07-01
남하면,무릉리,단독,82.65,1954,2,2025-07-01
남하면,무릉리,단독,59.18,1953,2,2025-07-01
남하면,무릉리,그외,81.9,1995,2,2025-07-01
남하면,무릉리,그외,57.9,1940,2,2025-07-01
웅양면,산포리,단독,99.4,1937,2,2025-07-01
웅양면,산포리,단독,80.5,1955,2,2025-07-01
웅양면,산포리,단독,75.5,1940,1,2025-07-01
고제면,개명리,단독,63.5,2008,2,2025-07-01
고제면,개명리,단독,61.83,1945,1,2025-07-01
주상면,도평리,단독,48.83,1963,2,2025-07-01
거창읍,상림리,단독,16.53,1962,2,2025-07-01
거창읍,상림리,단독,39.67,1947,2,2025-07-01
남상면,무촌리,단독,24.79,1966,2,2025-07-01
가조면,수월리,단독,134.1,1954,2,2025-07-01
가조면,수월리,단독,48.54,1955,1,2025-07-01
가조면,수월리,단독,75.13,1958,2,2025-07-01
가조면,수월리,단독,95.45,1956,1,2025-07-01
남상면,월평리,그외,,,2,2025-07-01
남상면,월평리,그외,71.61,1984,2,2025-07-01
남상면,월평리,단독,20.5,1944,2,2025-07-01
남상면,임불리,단독,50.57,1956,3,2025-07-01
마리면,율리,단독,28,1925,2,2025-07-01
마리면,율리,단독,120,2007,1,2025-07-01
마리면,율리,단독,45.54,1997,1,2025-07-01
마리면,율리,단독,67.6,1911,2,2025-07-01
마리면,율리,단독,99.28,1941,2,2025-07-01
마리면,율리,단독,37.92,1939,2,2025-07-01
남하면,둔마리,단독,69.42,1973,2,2025-07-01
남하면,둔마리,단독,129.78,1995,1,2025-07-01
남하면,둔마리,단독,67.11,1965,2,2025-07-01
남하면,둔마리,단독,160.66,1959,2,2025-07-01
가조면,석강리,단독,60.18,1896,2,2025-07-01
가조면,석강리,단독,34.34,1925,1,2025-07-01
가조면,석강리,단독,36.49,1971,2,2025-07-01
웅양면,산포리,단독,100.7,1950,2,2025-07-01
웅양면,산포리,단독,54.7,1979,1,2025-07-01
웅양면,노현리,단독,84.8,1935,2,2025-07-01
거창읍,대동리,그외,,,2,2025-07-01
마리면,하고리,단독,49.58,1928,3,2025-07-01
신원면,과정리,단독,59.51,1950,2,2025-07-01
신원면,과정리,단독,59.45,1988,2,2025-07-01
고제면,봉계리,그외,52.56,1971,2,2025-07-01
신원면,와룡리,단독,56.2,1950,2,2025-07-01
신원면,와룡뢰,단독,46.28,1950,2,2025-07-01
북상면,소정리,단독,59.17,1950,2,2025-07-01
북상면,소정리,그외,101.2,1945,2,2025-07-01
북상면,소정리,그외,145.6,1935,2,2025-07-01
북상면,소정리,그외,37.4,1952,2,2025-07-01
북상면,소정리,그외,64.8,1948,2,2025-07-01
북상면,소정리,그외,,,2,2025-07-01
마리면,말흘리,그외,122.55,1960,2,2025-07-01
마리면,말흘리,단독,35.8,1932,2,2025-07-01
남상면,송변리,그외,86.51,1960,2,2025-07-01
남상면,송변리,그외,84.64,1926,2,2025-07-01
남상면,송변리,단독,62.35,1956,2,2025-07-01
남상면,송변리,단독,26.71,1947,2,2025-07-01
남상면,송변리,단독,52.5,1948,2,2025-07-01
남상면,송변리,단독,59.6,1961,2,2025-07-01
남상면,송변리,단독,19.24,1926,2,2025-07-01
남상면,송변리,그외,57.84,1947,2,2025-07-01
남상면,송변리,단독,61.06,1944,2,2025-07-01
남상면,송변리,그외,64.28,1984,2,2025-07-01
웅양면,군암리,단독,56.6,1935,2,2025-07-01
웅양면,군암리,단독,46.7,1930,3,2025-07-01
웅양면,군암리,단독,73.8,1945,2,2025-07-01
남상면,무촌리,단독,55.14,1950,2,2025-07-01
남상면,무촌리,단독,78.55,1930,1,2025-07-01
신원면,청수리,단독,100.52,2006,2,2025-07-01
신원면,양지리,단독,23.14,1935,2,2025-07-01
신원면,양지리,단독,53.89,1935,2,2025-07-01
신원면,양지리,단독,58.51,1952,2,2025-07-01
신원면,양지리,단독,87.28,1925,2,2025-07-01
고제면,개명리,단독,61.41,1936,2,2025-07-01
마리면,대동리,단독,31.01,1940,1,2025-07-01
마리면,대동리,단독,61.39,1973,1,2025-07-01
신원면,구사리,단독,55.87,1950,2,2025-07-01
남하면,지산리,단독,68.43,1975,2,2025-07-01
남하면,지산리,단독,76.29,1995,1,2025-07-01
남하면,지산리,단독,84.29,1910,2,2025-07-01
남하면,지산리,그외,75.7,1973,2,2025-07-01
신원면,양지리,단독,57.19,1930,2,2025-07-01
신원면,양지리,단독,25.45,1941,2,2025-07-01
가조면,장기리,단독,48.28,1940,2,2025-07-01
가북면,중촌리,단독,68,1952,2,2025-07-01
가북면,중촌리,그외,,,2,2025-07-01
거창읍,중앙리,단독,46.28,1956,2,2025-07-01
거창읍,중앙리,단독,23.14,1945,3,2025-07-01
남하면,양항리,단독,50.24,1920,2,2025-07-01
남하면,양항리,그외,57.21,1970,1,2025-07-01
남하면,둔만리,단독,125.63,1935,2,2025-07-01
남하면,무릉리,단독,46.61,1976,2,2025-07-01
남하면,무릉리,단독,70.4,1928,2,2025-07-01
신원면,양지리,단독,24.79,1960,2,2025-07-01
거창읍,양평리,단독,49.59,1945,2,2025-07-01
가북면,용산리,단독,82.31,1955,2,2025-07-01
가조면,장기리,단독,63.48,1925,2,2025-07-01
가조면,장기리,단독,75.21,1977,1,2025-07-01
가조면,장기리,그외,101.1,1925,1,2025-07-01
가조면,장기리,단독,75.41,1940,2,2025-07-01
가조면,장기리,단독,148.72,1925,1,2025-07-01
가북면,해평리,그외,43,1930,2,2025-07-01
주상면,연교리,단독,62.08,1915,2,2025-07-01
주상면,연교리,단독,64.69,1941,2,2025-07-01
남하면,무릉리,그외,71.54,1995,2,2025-07-01
남하면,무릉리,단독,130.9,1978,1,2025-07-01
마리면,영승리,그외,,,2,2025-07-01
마리면,영승리,그외,,,2,2025-07-01
마리면,영승리,그외,55.3,1956,2,2025-07-01
마리면,영승리,단독,41.2,1971,3,2025-07-01
마리면,영승리,단독,51.54,1959,2,2025-07-01
마리면,영승리,단독,67.83,1948,1,2025-07-01
마리면,영승리,단독,36.36,1926,2,2025-07-01
남상면,오계리,단독,125.76,1958,2,2025-07-01
신원면,덕산리,단독,54,1997,2,2025-07-01
주상면,내오리,단독,43.87,1957,2,2025-07-01
주상면,내오리,단독,58.75,1905,2,2025-07-01
